"ID_NAME","CONSUMPTION_SEGMENT_CODE","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01","2026-04-01","2026-05-01","2026-06-01"
"Apples - not cooking","CP0116301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.267,5.893,3.807,4.923,4.957,3.515
"Avocados","CP0116199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.334,-1.713,-0.587,0.113,-0.911,0.612
"Baby food - pouch, pot, or jar","CP0119201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby formula","CP0119202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.475,3.476,3.219,5.568,4.951,4.827
"Baked beans","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.103,2.603,0.608,0.963,-1.549
"Bananas","CP0116101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.362,1.657,0.493,0.506,0.539
"Beans - canned or jarred (excl. baked beans)","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.103,2.603,0.608,0.963,-1.549
"Beef - burgers","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - joints","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - minced or diced","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - steak or chops","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beer - ale (excl. pale ales and IPAs)","CP0213003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.021,4.627,5.18,2.535,0.288,-0.524
"Beer - lager","CP0213002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.004,0.387,0.14,-0.43,-0.946,-4.062
"Beer - low or no alcohol","CP0213005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beer - mild (e.g. bitter, pale ale, IPAs)","CP0213001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.502,3.225,2.086,-0.996,0.321,0.398
"Beer - stout/porter","CP0213004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,0.432,-0.059,1.036,1.263,1.398
"Biscuits - sweet (excl. cookies)","CP0111309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.415,-3.818,-4.772,2.101,-3.849,3.845
"Blueberries","CP0116401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.077,1.236,2.752,3.567,1.233,3.186
"Bread - gluten-free or premium (e.g. sourdough)","CP0111303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,3.082,4.103,2.796,2.119,2.631
"Bread - sliced white","CP0111301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,1.134,1.15,1.095,0.352,0.775
"Bread - sliced wholemeal or brown","CP0111302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,0.788,1.316,0.922,0.951,1.571
"Bread - unsliced white","CP0111301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,1.134,1.15,1.095,0.352,0.775
"Fish - breaded or battered (e.g. fingers and goujons)","CP0113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474,5.445,9.321,10.441,5.654,5.547
"Fish - breaded or battered (whole fish)","CP0113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474,5.445,9.321,10.441,5.654,5.547
"Broccoli","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Butter - dairy (block or tub)","CP0115201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,-1.13,0.002,-3.993,-2.768,-6.571
"Butter - dairy (spreadable)","CP0115201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,-1.13,0.002,-3.993,-2.768,-6.571
"Cabbage","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Cake - individual snacks and bars","CP0111311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,2.801,-2.196,-3.609,-1.645,-3.489
"Cake - large and sharing","CP0111311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,2.801,-2.196,-3.609,-1.645,-3.489
"Fish - canned tuna","CP0113302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.278,-3.005,-2.273,-2.156,-2.553,-1.878
"Fruit - canned","CP0116901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.553,-1.688,-0.534,-1.244,-0.091,-0.402
"Canned meat","CP0112504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.331,10.91,7.971,8.822,8.731,10.015
"Carrots","CP0117401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,0.642,2.552,23.432,3.184,2.608
"Cauliflower","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Cereal - gluten free","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Cereal - non-sugary","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Cereal, protein and energy bars","CP0111402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.045,7.506,2.771,7.957,7.424,9.305
"Cereal - sugary","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Champagne","CP0212104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,-4.024,-3.313,-1.235,-7.091,-2.577
