"ID_NAME","CONSUMPTION_SEGMENT_CODE","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01"
"Primary school meal (fixed charges)","220209",0.9,0.8,1.1,-4.2,-6.4,-3.4,-2.4,-2.3,-3.5,-4.4,-7.3,-7.9,-14.7,-13.9,-13.9,-4,4,1.5,3.1,3.3,2.8,2.9,1.8,4.8,20.6,17,14.7,9.9,6,7.5,4.9,5.1,5.7,3.3,8.1,5.7,3.9,5.7,4
"Secondary school (cafeteria)","220210",-2.4,0.5,-2.5,-6.7,-4.2,-7,-3.1,-2.9,-6.8,-4.8,-4.8,-7.9,-11.9,-14.5,-10.7,-5.6,-4.2,-3.7,-3.7,-6.2,-4.8,-2.3,-3.2,4.6,10.9,15.5,11.8,11.8,9.4,11.6,10.6,5.8,8.3,8.2,9.1,4.3,4.1,5.7,-0.7
"Takeaway kebab","220323",0.3,-0.2,-0.7,-3.6,-0.7,4.8,3.2,4.4,2,2.4,0.1,2.5,-0.4,-3,-0.8,3.4,1.4,-4.4,-3,-3.1,-1.8,-2.9,0.1,-1.1,1.8,6,5.1,5.2,3,4,3.3,4.4,5.8,9,8.3,8.3,6.7,5.2,4.3
"Takeaway chicken & chips","220326",1.4,2.1,-0.5,-4.2,-1.3,-1.8,-4.4,-2.3,-2.5,-6.2,-7.4,-5.6,-5.6,-1.2,0.9,5.7,4.5,4.2,5.1,4.7,5.9,4.1,4.6,10,12.7,6.2,6.5,8.7,4.9,6.3,11,10,13.9,20.3,23.2,15.8,14.7,19.1,18.2
"Takeaway cooked pastry","220327",-3.1,-2.7,-0.4,-6,-5.5,-9.1,-6.8,-0.4,-0.5,8.5,-0.9,-1.2,8.9,9.1,5.8,7.3,4.3,9.4,9.6,10.1,10.4,10.2,19.1,18.7,6.8,6.6,12.8,13.6,13.5,15.3,13.9,10,11.6,6,3.5,3.5,-0.3,0.4,4.4
"Carpenter","410518",-2.2,2.8,10,-0.1,5.4,6.5,-0.5,-10.9,-11.7,-2.2,-14,-16.7,-11.3,-19.6,-22.7,-12,-18.2,-8.3,-0.3,3.7,-4.8,-10.8,3.6,3.8,-0.9,8.1,14.6,8.7,12.9,4.5,1.8,2.5,13.4,9.9,6.1,9.2,8.5,7.5,-7.5
"Electric kettle","430307",-3.9,-1,-5.3,-13.7,-8.5,-11.1,-0.5,-5.2,-6,-1.7,-5.9,-2.9,-10.7,-13,-9.2,5.8,8.8,19.7,11,2.9,1.7,-0.9,4.5,9.1,17.8,17.6,16.2,9.4,1.5,-0.2,0,11.6,10.6,10.4,8.5,6,4.8,7.7,11.3
"Electric iron","430317",-3.8,-1,-5.1,-1.4,-10.7,-10.9,-9.3,-11.4,-10.6,-1.7,-4.1,-3.1,-4.3,-16.2,-11.3,-16.6,-1.4,0.2,4.8,-3.9,-8.9,-12.2,-8.3,-7.2,-1,10.8,7.1,5.6,0.1,-4.1,-7.3,-3.2,1.6,3.2,3.7,3.7,1.8,3.2,0.1
"Electric razor","430321",2.2,-0.3,-0.5,1.3,3.7,0.4,5.6,-7.1,-1.7,-3.5,-4.2,-3.3,-7,-8.2,-5.1,-3.2,-3.1,8.3,0.5,6,2.2,5.7,5.5,8.1,15.2,16.9,15.8,16.3,15.6,9.6,9.2,14.8,9.1,5.1,6.8,15.5,8.9,12,1.8
"Stainless steel cutlery set","430419",-0.1,1.5,1.4,-3.7,-8.2,0.1,13.9,-2.8,-1,2.8,-7.5,-3,-1.3,-8.7,-4.8,0,17,11.7,6,2.1,-2.8,-8.1,2,-2.7,3.4,12.6,16.1,17.1,6.2,2.8,3.1,10.5,12.2,14.8,14.5,11.5,11.1,17.6,4
