"CONSUMPTION_SEGMENT_CODE","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01"
"220209",100,102.1,102.9,103.5,103.2,103.5,101.8,102.5,104.8,105.9,105,104.9,100.9,102.918,104.028,99.185,96.561,99.992,99.387,100.093,101.102,101.203,97.368,96.662,86.068,88.564,89.596,95.191,100.441,101.474,102.507,103.367,103.884,104.142,99.15,101.302,103.798,103.59,102.76,104.628,106.496,109.091,107.534,108.676,109.818,107.534,107.223,107.119,107.846,109.463,106.909
"220210",100,97.9,101.6,100.9,99.6,100.5,96.9,99.9,103.1,100.8,102.4,99.5,97.6,98.381,99.064,94.184,95.453,93.501,93.891,97.014,96.038,95.941,97.502,91.646,85.986,84.094,88.479,88.909,91.403,90.027,90.371,90.973,91.403,93.724,94.412,95.874,95.358,97.17,98.886,99.363,100.031,100.507,99.935,96.216,98.982,101.366,102.987,100.031,99.268,102.742,98.164
"220323",100,100.5,100.3,99.5,100.4,99.4,99.9,99.3,100.5,100.8,101,99.6,100.3,100.3,99.598,95.887,99.698,104.212,103.108,103.71,102.507,103.209,101.102,102.105,99.899,97.301,98.8,99.1,101.098,99.599,99.999,100.498,100.698,100.198,101.197,100.998,101.697,103.121,103.833,104.239,104.138,103.629,103.324,104.951,106.578,109.223,109.629,109.426,108.511,108.511,108.281
"220326",100,100.4,101.7,102,103.7,103,101.6,101.4,103.8,106.1,106.3,104.6,101.4,102.515,101.197,97.75,102.313,101.096,97.141,99.068,101.197,99.473,98.459,98.764,95.722,101.273,102.135,103.284,106.921,105.294,102.135,103.762,107.208,103.571,102.996,108.644,107.878,107.555,108.741,112.301,112.193,111.978,113.38,114.135,122.118,124.599,126.865,125.786,123.736,128.067,128.576
"220327",100,97.7,96.5,100.4,103,101.9,99.4,96.3,96.8,94.5,95.6,95.6,96.9,95.059,96.125,94.381,97.384,92.636,92.636,95.931,96.319,102.52,94.768,94.478,105.524,103.73,101.725,101.303,101.62,101.303,101.514,105.63,106.368,113.016,112.911,112.172,112.7,110.558,114.728,115.066,115.292,116.757,115.63,116.193,118.673,119.8,116.87,116.081,112.362,111.013,119.789
"410518",100,101.4,103.7,110.4,109.2,102.7,101,107.4,112.1,109.4,116.5,113.6,97.8,104.255,114.035,110.318,115.111,109.34,100.538,95.648,98.974,106.993,100.147,94.573,86.749,83.799,88.137,97.072,94.209,100.281,100.281,99.154,94.209,95.423,103.751,98.199,85.968,90.61,101.012,105.483,106.342,104.795,102.044,101.614,106.858,104.881,110.125,107.202,93.275,97.379,93.418
"430307",100,99.6,101.3,101.5,100.8,95.7,88.7,96.7,102.8,105.2,106,101.5,96.1,98.599,95.908,87.643,92.256,85.048,88.22,91.679,96.677,103.404,99.752,98.599,85.817,85.731,87.105,92.683,100.406,101.779,97.918,94.313,98.347,102.466,104.268,107.529,101.093,100.79,101.194,101.396,101.902,101.598,97.959,105.238,108.776,113.123,113.123,113.932,105.945,108.594,112.593
"430317",100,104.5,107.3,111.9,115.2,117.2,108.7,117.1,119.1,111.3,110.9,106.3,96.2,103.415,101.876,110.341,102.838,104.473,98.605,103.704,106.493,109.379,106.397,103.03,92.063,86.632,90.314,91.971,101.362,104.676,103.387,99.705,97.035,96.022,97.587,95.562,91.143,95.973,96.702,97.158,101.442,100.348,95.791,96.52,98.616,99.072,101.168,99.072,92.783,99,96.767
"430321",100,102.8,103.1,100.8,100.3,97,93.4,100.7,106.1,109.8,110.8,107.4,102.2,102.507,102.609,102.098,104.04,97.397,98.623,93.513,104.244,105.981,106.186,103.835,95.046,94.096,97.327,98.848,100.844,105.501,99.133,99.133,106.547,112.059,112.059,112.249,109.493,110.04,112.668,114.968,116.61,115.625,108.289,113.763,116.282,117.814,119.676,129.64,119.238,123.292,114.696
"430419",100,100.3,97.5,99.2,96.4,90.8,79.7,96.4,106.3,108,111.5,110.3,99.9,101.798,98.901,95.504,88.511,90.909,90.809,93.706,105.195,110.989,103.097,106.993,98.601,92.981,94.164,95.545,103.531,101.559,96.235,95.643,102.25,102.052,105.208,104.123,101.954,104.706,109.294,111.843,109.906,104.401,99.201,105.726,114.698,117.145,120.509,116.125,113.271,123.125,113.66
"430423",100,99.2,105.3,102.4,100.1,99.7,96.6,95.8,99.4,96.1,100.1,96.8,96.5,98.816,100.36,95.439,105.185,104.027,102.194,99.684,98.526,99.588,103.931,105.089,105.957,100.235,103.308,105.321,108.182,110.195,110.301,110.195,109.983,109.983,109.03,115.175,109.877,110.427,113.833,116.58,118.558,117.459,116.25,114.712,117.349,119.876,120.536,118.338,115.481,119.292,114.762
"430622",100,110.5,113.6,110.7,112.1,109.6,107.3,109,114.9,117.4,117,114.9,113.1,117.398,113.326,110.725,113.1,112.534,114.457,113.892,115.701,120.452,118.303,117.963,103.713,97.386,106.928,108.069,110.973,116.158,117.506,116.988,117.61,117.714,120.203,122.485,118.336,124.963,128.395,129.341,129.578,127.685,130.051,131.235,131.945,135.022,132.182,131.945,132.773,135.296,134.394
"430623",100,91.7,93.7,95.4,95.7,94.3,90.3,94.3,111.1,116.7,119.8,114,103.4,99.161,93.991,92.233,94.818,94.714,92.543,92.957,108.26,112.706,107.433,106.812,97.816,92.143,90.089,95.469,100.555,101.436,98.599,98.892,107.109,112.098,113.174,116.988,103.881,99.414,99.31,101.388,103.258,102.738,100.972,102.738,107.309,111.776,108.763,106.894,101.7,103.53,101.264
"440101",100,106.8,103.8,106.4,104.3,103.4,93.1,94,99.1,101.1,103.8,103,101.1,100.392,99.887,101.909,100.291,98.168,103.729,100.898,102.819,105.144,103.425,100.999,98.876,98.876,105.402,102.831,103.029,101.941,98.48,98.777,101.941,106.786,109.06,107.28,103.424,107.147,106.113,111.388,109.526,107.044,103.734,103.734,110.56,112.008,114.801,113.043,106.217,113.333,106.34
"510132",100,100,100.7,100.7,101.1,103.1,103.4,104,105.1,105.3,105.3,105.4,105.7,107.074,106.863,106.44,105.489,106.651,109.717,113.522,114.05,114.685,111.619,116.059,114.05,112.568,112.682,113.252,119.525,120.779,119.525,119.981,121.578,121.235,122.148,121.92,121.578,123.158,125.103,125.468,128.629,128.386,129.48,133.857,133.979,135.073,133.735,135.073,132.763,133.825,136.886
"510133",100,102,102.1,100.2,99.8,99.1,99.3,99.5,99.3,99.4,99.4,98.7,98.6,100.178,100.966,97.318,96.135,102.643,101.755,100.473,100.375,99.783,100.769,99.389,98.896,99.192,99.291,96.819,99.984,99.786,97.215,100.478,100.775,100.083,101.072,99.984,99.291,101.079,102.27,100.483,103.064,100.582,102.171,104.554,104.256,102.568,103.362,103.164,101.079,104.819,104.318
"510134",,,,,,,,,,,,,100,100.9,99.8,105.4,105.9,101,102.1,105.5,104.4,102.2,103.9,103.2,106.8,107.441,105.625,105.091,104.13,105.305,104.344,106.266,106.052,105.732,107.12,108.509,103.489,106.18,109.285,106.697,107.525,106.18,106.18,114.045,113.01,109.802,111.665,113.424,111.975,114.999,115.967
"510402",100,102.6,103.3,104.7,105.9,103.8,96.7,100.3,103.9,103.4,102.7,102.2,99.4,97.114,96.319,98.505,100.593,96.12,92.84,93.237,96.02,93.635,94.728,95.623,93.535,87.736,90.355,90.729,97.09,97.183,95.78,94.19,94.284,96.529,97.838,95.687,95.967,97.695,95.2,97.887,98.462,99.134,100.574,103.069,102.493,103.549,104.029,103.933,101.246,102.055,102.761
"510415",100,102.6,103.3,104.7,105.9,103.8,96.7,100.3,103.9,103.4,102.7,102.2,99.4,97.114,96.319,98.505,100.593,96.12,92.84,93.237,96.02,93.635,94.728,95.623,93.535,87.736,90.355,90.729,97.09,97.183,95.78,94.19,94.284,96.529,97.838,95.687,95.967,97.695,95.2,97.887,98.462,99.134,100.574,103.069,102.493,103.549,104.029,103.933,101.246,102.055,100.938
"510435",,,,,,,,,,,,,100,92.5,95.3,100.9,107.4,103.9,105,107.9,109.5,113.7,111.7,112.6,102.6,95.315,99.83,101.779,102.805,104.036,103.216,102.292,106.601,101.574,102.497,107.833,107.525,99.353,103.869,103.976,107.525,109.353,107.955,109.998,116.772,116.342,115.589,116.987,105.912,98.392,105.717
