CONSUMPTION_SEGMENT_CODE,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
520130,,0,1,0,0,2,0,1,1,0,0,0,0,1,-0,-0,-1,1,3,3,0,1,-3,4,-2,-1,0,1,6,1,-1,0,1,-0,1,-0,-0,1,2,0,3,-0,1,3,0,1,-1,1,-2,1,0
520131,,2,0,-2,-0,-1,0,0,-0,0,0,-1,-0,2,1,-4,-1,7,-1,-1,-0,-1,1,-1,-0,0,0,-2,3,-0,-3,3,0,-1,1,-1,-1,2,1,-2,3,-2,2,2,-0,-2,1,-0,-2,4,-0
520137,,0,-2,2,0,-0,-1,1,0,-1,-0,-0,-0,1,-1,6,0,-5,1,3,-1,-2,2,-1,3,1,-2,-1,-1,1,-1,2,-0,-0,1,1,-5,3,3,-2,1,-1,0,7,-1,-3,2,2,-1,3,0
520140,,3,1,1,1,-2,-7,4,4,-0,-1,-0,-3,-2,-1,2,2,-4,-3,0,3,-2,1,1,-2,-6,3,0,7,0,-1,-2,0,2,1,-2,0,2,-3,3,1,1,1,2,-1,1,0,-0,-3,1,0
510439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520109,,3,1,-0,-0,-1,-4,3,4,-4,4,-1,-1,-3,-2,-3,2,-2,-6,10,1,-0,-8,8,-3,-1,1,-0,4,-1,-0,0,-1,1,-1,0,-0,-0,2,5,-1,1,-4,1,2,0,0,-2,-3,2,-0
510429,,1,0,1,0,-1,-0,-0,0,0,1,-1,-0,-3,4,19,-2,-0,-1,-12,1,-1,1,4,1,5,-1,-1,-1,0,0,1,1,0,2,0,-1,3,1,1,1,-2,0,1,-0,2,0,2,-3,1,0
510432,,2,1,-1,2,-2,-6,-2,7,6,1,-2,-7,-1,-3,-2,-1,-1,-2,-2,10,8,-3,-0,-8,-3,2,1,1,2,-5,2,3,3,6,-1,-5,-3,3,3,1,2,-9,5,6,3,2,-1,-1,-1,0
510324,,1,2,1,-0,-0,2,1,0,-0,-1,-2,0,-1,-1,-3,5,-1,-1,1,2,1,-3,2,-1,1,-1,2,-0,0,1,-0,2,3,0,1,-2,0,2,-1,0,-0,0,1,1,3,-1,-0,3,1,0
510328,,-1,2,-3,3,-0,-1,2,2,0,1,-1,-3,10,-4,-8,1,-3,-5,8,2,-2,-7,-1,-9,11,1,-1,7,6,-4,-3,1,6,0,-1,-8,-4,5,2,-2,3,4,3,-2,6,1,1,-3,-3,0
510330,,0,3,-1,2,-0,-2,1,-0,1,1,-1,-2,0,0,-1,2,3,-1,-4,1,2,-5,-0,4,2,1,2,2,0,-0,-2,3,0,-1,0,-3,3,-1,-2,2,0,-3,-1,3,1,1,-1,-2,1,-0
510336,,-0,1,-0,6,-2,1,-3,1,1,3,1,-3,-1,-2,-3,1,4,-4,2,1,2,-1,-2,1,1,-1,0,1,0,-2,2,0,3,-0,2,-3,-1,1,0,-2,3,0,-1,5,1,3,-1,-1,0,-0
510340,,2,5,-0,-4,-2,-4,-6,7,4,1,2,-4,-5,-1,1,4,2,-5,3,2,-3,4,-5,-3,0,-1,3,-1,1,-8,2,7,2,1,1,-7,-2,7,-8,5,2,-8,-0,6,3,5,-1,-7,3,0
510344,,4,0,0,0,0,-7,4,7,2,4,-1,-4,3,-4,5,-1,-3,1,4,-4,2,0,5,-6,-1,-1,2,2,-0,-4,2,5,-1,0,2,-1,-0,-1,0,1,5,-11,-1,7,6,4,-1,0,5,-0
510347,,-7,-5,0,1,-1,-2,7,16,3,4,-1,-8,-8,-4,-4,-7,5,0,4,3,1,-2,2,-4,-5,-4,3,-3,1,-1,3,4,8,4,-0,-7,-3,0,-3,3,-1,-0,7,5,4,8,-1,-9,-2,0
510348,,2,-3,3,-0,1,-5,3,1,2,2,-2,0,-1,-1,2,2,-2,3,3,1,8,-8,3,-3,2,1,-0,0,-5,-4,12,1,2,0,4,-5,-4,17,-3,4,10,3,-3,1,-1,-5,-1,-6,3,-0
510349,,0,-0,-1,1,-1,-5,3,3,-2,2,-0,-4,1,-6,-1,4,-3,1,2,2,4,-1,0,1,1,3,0,4,1,-2,-2,1,1,-0,0,-1,1,1,-5,0,-0,1,-0,3,2,0,2,1,3,0
510350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510528,,-0,1,-0,-1,1,-1,0,0,0,0,1,-4,-0,1,-5,-1,-2,4,2,4,4,-5,-2,-2,-3,-0,4,5,-2,-1,1,1,-1,-1,11,-10,-1,-0,12,0,0,-2,3,7,-1,-9,10,10,0,-0
510104,,-1,1,0,3,-2,-8,8,5,2,3,-1,-4,-4,-1,-1,-2,2,7,-3,4,2,-7,1,-6,-7,1,5,4,0,-3,-2,3,3,0,4,-6,-1,0,2,6,-3,-4,2,7,4,-0,-1,0,-2,0
510106,,1,2,-1,2,-1,-1,-0,0,2,-0,-2,-3,0,-0,-1,-2,5,0,0,2,-1,-5,3,-3,-6,6,2,3,0,0,-0,-0,1,1,0,-2,1,2,-1,3,2,-1,2,1,0,-0,-0,-1,0,-0
510108,,1,-2,-4,3,-2,-7,9,9,2,-0,-1,-5,0,2,-2,-2,3,1,-6,7,3,-5,-1,-8,-8,0,12,-7,1,0,1,5,3,-0,1,-3,-1,-1,3,-0,1,-3,-0,6,2,3,1,-3,-0,-0
510109,,1,1,0,1,-2,-1,-0,1,-0,1,-2,0,0,-1,-3,2,3,-2,-1,5,-1,-5,1,-14,5,1,2,4,-0,0,-1,-2,3,2,4,-5,3,2,1,1,-0,2,2,2,1,1,1,-3,3,-0
510113,,2,-2,3,1,0,-0,-5,-0,-1,2,-3,-1,2,2,0,-9,10,-3,2,2,-5,-4,3,-6,-2,2,8,3,0,-1,-3,1,1,-1,1,-3,1,3,2,3,-1,-1,2,0,3,-0,-1,-1,2,-0
510117,,1,3,0,-1,1,-3,-2,5,-0,1,-1,-2,1,0,-7,-3,4,-6,12,2,1,-7,3,-10,6,1,4,0,1,-2,-1,1,2,-0,0,-0,2,1,1,-0,0,-1,2,-1,4,1,-0,-1,3,-0
510118,,0,4,-1,1,0,-3,-2,3,0,-1,-3,-1,0,-0,-3,-4,6,-1,1,-1,1,-4,2,-12,1,0,6,2,1,2,-1,1,1,1,-2,0,1,2,0,1,-0,-0,-1,3,2,3,0,-0,1,-0
510120,,4,-0,-3,4,-2,-5,5,3,2,1,-2,-4,2,-4,-5,2,5,0,-0,3,4,-6,4,-7,-4,3,4,-1,3,-1,-1,-1,5,2,-2,-2,0,2,2,2,1,-3,0,3,4,1,1,-4,1,-0
510128,,-1,2,-0,1,1,2,-0,-0,-0,1,-0,-6,-1,0,-2,0,0,-2,-1,1,13,1,0,11,-5,-1,1,-0,-1,-2,1,-5,-1,-4,7,1,-0,36,3,1,-1,-11,-2,9,-1,-2,8,-3,-1,-0
